,Items,(Ordered) Frequent Items
178,"['Coffee Powder', 'Ghee', 'Lassi', 'Butter', 'Cheese', 'Yougurt']","['Ghee', 'Coffee Powder', 'Yougurt', 'Butter', 'Cheese', 'Lassi']"
179,"['Cheese', 'Lassi', 'Butter', 'Yougurt']","['Yougurt', 'Butter', 'Cheese', 'Lassi']"
180,"['Sweet', 'Butter', 'Tea Powder', 'Yougurt', 'Ghee']","['Ghee', 'Yougurt', 'Sweet', 'Butter', 'Tea Powder']"
181,"['Lassi', 'Bread', 'Sugar', 'Milk', 'Tea Powder']","['Milk', 'Bread', 'Sugar', 'Lassi', 'Tea Powder']"
182,"['Milk', 'Butter', 'Yougurt', 'Sugar', 'Lassi', 'Bread']","['Milk', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Lassi']"
183,"['Tea Powder', 'Coffee Powder', 'Milk', 'Lassi', 'Butter', 'Ghee']","['Milk', 'Ghee', 'Coffee Powder', 'Butter', 'Lassi', 'Tea Powder']"
184,"['Ghee', 'Butter', 'Sweet', 'Tea Powder', 'Sugar']","['Ghee', 'Sweet', 'Sugar', 'Butter', 'Tea Powder']"
185,"['Coffee Powder', 'Ghee', 'Cheese']","['Ghee', 'Coffee Powder', 'Cheese']"
186,"['Sweet', 'Ghee', 'Butter', 'Coffee Powder', 'Lassi']","['Ghee', 'Coffee Powder', 'Sweet', 'Butter', 'Lassi']"
187,"['Sugar', 'Bread', 'Butter', 'Cheese', 'Milk', 'Panner', 'Yougurt']","['Milk', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner']"
188,"['Butter', 'Sweet', 'Cheese', 'Yougurt', 'Milk', 'Sugar', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese']"
189,"['Sugar', 'Panner', 'Yougurt']","['Yougurt', 'Sugar', 'Panner']"
190,"['Bread', 'Sweet']","['Bread', 'Sweet']"
191,"['Sweet', 'Butter', 'Lassi', 'Yougurt', 'Milk', 'Sugar', 'Coffee Powder', 'Cheese', 'Tea Powder']","['Milk', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
192,"['Yougurt', 'Coffee Powder', 'Lassi', 'Cheese', 'Sugar']","['Coffee Powder', 'Yougurt', 'Sugar', 'Cheese', 'Lassi']"
193,"['Tea Powder', 'Panner', 'Bread', 'Yougurt', 'Ghee', 'Sugar', 'Milk', 'Cheese', 'Butter']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
194,"['Ghee', 'Lassi', 'Bread', 'Panner', 'Yougurt', 'Sugar']","['Ghee', 'Yougurt', 'Bread', 'Sugar', 'Panner', 'Lassi']"
195,"['Sugar', 'Lassi', 'Tea Powder', 'Ghee']","['Ghee', 'Sugar', 'Lassi', 'Tea Powder']"
196,"['Yougurt', 'Cheese', 'Bread', 'Coffee Powder', 'Sugar', 'Tea Powder', 'Panner']","['Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Panner', 'Tea Powder']"
197,"['Sugar', 'Coffee Powder', 'Cheese']","['Coffee Powder', 'Sugar', 'Cheese']"
198,"['Yougurt', 'Cheese', 'Panner', 'Coffee Powder', 'Milk']","['Milk', 'Coffee Powder', 'Yougurt', 'Cheese', 'Panner']"
199,"['Sweet', 'Coffee Powder', 'Tea Powder', 'Lassi', 'Cheese']","['Coffee Powder', 'Sweet', 'Cheese', 'Lassi', 'Tea Powder']"
200,"['Lassi', 'Cheese', 'Sugar', 'Tea Powder']","['Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
201,"['Bread', 'Coffee Powder', 'Milk', 'Lassi', 'Yougurt', 'Butter', 'Cheese']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Lassi']"
202,"['Milk', 'Cheese', 'Sugar']","['Milk', 'Sugar', 'Cheese']"
203,"['Tea Powder', 'Sweet', 'Bread', 'Lassi', 'Coffee Powder', 'Panner', 'Milk']","['Milk', 'Coffee Powder', 'Bread', 'Sweet', 'Panner', 'Lassi', 'Tea Powder']"
204,"['Yougurt', 'Tea Powder']","['Yougurt', 'Tea Powder']"
205,"['Cheese', 'Butter', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Lassi']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Lassi']"
206,"['Tea Powder', 'Panner', 'Ghee', 'Sugar']","['Ghee', 'Sugar', 'Panner', 'Tea Powder']"
207,"['Cheese', 'Sweet', 'Coffee Powder', 'Ghee', 'Panner']","['Ghee', 'Coffee Powder', 'Sweet', 'Cheese', 'Panner']"
208,"['Panner', 'Coffee Powder', 'Milk', 'Cheese', 'Ghee']","['Milk', 'Ghee', 'Coffee Powder', 'Cheese', 'Panner']"
209,"['Sweet', 'Tea Powder', 'Lassi', 'Sugar', 'Ghee', 'Cheese', 'Bread', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
210,"['Milk', 'Sugar', 'Yougurt', 'Tea Powder', 'Cheese', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Yougurt', 'Sugar', 'Cheese', 'Tea Powder']"
211,"['Lassi', 'Panner']","['Panner', 'Lassi']"
212,"['Panner', 'Sugar', 'Sweet', 'Cheese', 'Lassi']","['Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
213,"['Tea Powder', 'Cheese', 'Coffee Powder', 'Bread', 'Milk', 'Butter', 'Lassi', 'Panner', 'Yougurt']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
214,"['Cheese', 'Panner', 'Sugar']","['Sugar', 'Cheese', 'Panner']"
215,"['Yougurt', 'Coffee Powder', 'Sugar']","['Coffee Powder', 'Yougurt', 'Sugar']"
216,"['Tea Powder', 'Bread', 'Yougurt', 'Panner', 'Coffee Powder']","['Coffee Powder', 'Yougurt', 'Bread', 'Panner', 'Tea Powder']"
217,"['Sugar', 'Sweet', 'Cheese', 'Milk', 'Coffee Powder', 'Ghee']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Cheese']"
218,"['Sweet', 'Bread', 'Lassi', 'Butter', 'Milk', 'Panner', 'Tea Powder', 'Yougurt']","['Milk', 'Yougurt', 'Bread', 'Sweet', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
219,"['Cheese', 'Sweet', 'Tea Powder', 'Coffee Powder', 'Yougurt', 'Butter', 'Ghee']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Tea Powder']"
220,"['Panner', 'Milk', 'Cheese', 'Yougurt', 'Sweet', 'Ghee', 'Butter']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner']"
221,"['Sugar', 'Lassi', 'Cheese', 'Milk', 'Sweet', 'Bread', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Lassi']"
222,"['Lassi', 'Milk', 'Ghee', 'Tea Powder']","['Milk', 'Ghee', 'Lassi', 'Tea Powder']"
223,"['Yougurt', 'Ghee', 'Panner', 'Sweet', 'Milk', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Panner']"
224,"['Butter', 'Bread', 'Yougurt', 'Sugar', 'Milk']","['Milk', 'Yougurt', 'Bread', 'Sugar', 'Butter']"
225,"['Cheese', 'Bread']","['Bread', 'Cheese']"
226,"['Sweet', 'Yougurt']","['Yougurt', 'Sweet']"
227,"['Ghee', 'Coffee Powder', 'Bread', 'Lassi', 'Milk', 'Yougurt']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Lassi']"
228,"['Sweet', 'Yougurt', 'Milk', 'Bread', 'Butter', 'Sugar', 'Ghee', 'Panner']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner']"
229,"['Sweet', 'Sugar', 'Ghee', 'Coffee Powder', 'Milk', 'Cheese']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Cheese']"
230,"['Tea Powder', 'Bread']","['Bread', 'Tea Powder']"
231,"['Coffee Powder', 'Milk', 'Yougurt', 'Ghee', 'Sugar', 'Sweet']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar']"
232,"['Panner', 'Sweet', 'Butter', 'Lassi', 'Cheese', 'Yougurt']","['Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi']"
233,"['Milk', 'Coffee Powder', 'Ghee', 'Butter', 'Yougurt']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Butter']"
234,"['Tea Powder', 'Milk']","['Milk', 'Tea Powder']"
235,"['Cheese', 'Ghee', 'Sweet']","['Ghee', 'Sweet', 'Cheese']"
236,"['Sweet', 'Panner', 'Milk', 'Butter', 'Tea Powder', 'Lassi', 'Ghee']","['Milk', 'Ghee', 'Sweet', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
237,"['Sugar', 'Cheese', 'Tea Powder']","['Sugar', 'Cheese', 'Tea Powder']"
238,"['Sugar', 'Coffee Powder', 'Cheese', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Sugar', 'Cheese']"
239,"['Bread', 'Cheese', 'Sugar', 'Panner']","['Bread', 'Sugar', 'Cheese', 'Panner']"
240,"['Ghee', 'Bread', 'Coffee Powder', 'Tea Powder', 'Lassi']","['Ghee', 'Coffee Powder', 'Bread', 'Lassi', 'Tea Powder']"
241,"['Yougurt', 'Panner', 'Coffee Powder', 'Sugar', 'Tea Powder', 'Milk']","['Milk', 'Coffee Powder', 'Yougurt', 'Sugar', 'Panner', 'Tea Powder']"
242,"['Cheese', 'Coffee Powder', 'Panner']","['Coffee Powder', 'Cheese', 'Panner']"
243,"['Sugar', 'Cheese', 'Tea Powder', 'Ghee', 'Milk', 'Panner', 'Yougurt']","['Milk', 'Ghee', 'Yougurt', 'Sugar', 'Cheese', 'Panner', 'Tea Powder']"
244,"['Ghee', 'Bread', 'Milk', 'Butter', 'Coffee Powder', 'Yougurt', 'Lassi']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Lassi']"
245,"['Lassi', 'Milk', 'Cheese']","['Milk', 'Cheese', 'Lassi']"
246,"['Butter', 'Ghee', 'Bread', 'Lassi', 'Sugar', 'Panner']","['Ghee', 'Bread', 'Sugar', 'Butter', 'Panner', 'Lassi']"
247,"['Tea Powder', 'Bread', 'Coffee Powder', 'Ghee']","['Ghee', 'Coffee Powder', 'Bread', 'Tea Powder']"
248,"['Ghee', 'Cheese', 'Bread', 'Sweet']","['Ghee', 'Bread', 'Sweet', 'Cheese']"
249,"['Panner', 'Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Cheese', 'Lassi']","['Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
250,"['Tea Powder', 'Cheese', 'Coffee Powder', 'Lassi', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Cheese', 'Lassi', 'Tea Powder']"
251,"['Ghee', 'Lassi', 'Sugar', 'Yougurt']","['Ghee', 'Yougurt', 'Sugar', 'Lassi']"
252,"['Ghee', 'Sweet', 'Butter', 'Milk', 'Sugar', 'Lassi']","['Milk', 'Ghee', 'Sweet', 'Sugar', 'Butter', 'Lassi']"
253,"['Ghee', 'Tea Powder', 'Sweet', 'Bread', 'Panner']","['Ghee', 'Bread', 'Sweet', 'Panner', 'Tea Powder']"
254,"['Bread', 'Yougurt', 'Ghee', 'Milk', 'Coffee Powder', 'Panner']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Panner']"
255,"['Sweet', 'Tea Powder', 'Yougurt', 'Cheese', 'Bread', 'Ghee', 'Sugar', 'Butter']","['Ghee', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Tea Powder']"
256,"['Bread', 'Coffee Powder', 'Sweet', 'Panner', 'Sugar']","['Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Panner']"
257,"['Ghee', 'Sugar', 'Butter', 'Milk', 'Panner', 'Bread', 'Sweet']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner']"
258,"['Cheese', 'Yougurt', 'Milk', 'Tea Powder']","['Milk', 'Yougurt', 'Cheese', 'Tea Powder']"
259,"['Milk', 'Coffee Powder']","['Milk', 'Coffee Powder']"
260,"['Bread', 'Tea Powder', 'Milk', 'Ghee']","['Milk', 'Ghee', 'Bread', 'Tea Powder']"
261,"['Tea Powder', 'Cheese', 'Milk', 'Lassi', 'Sweet', 'Bread']","['Milk', 'Bread', 'Sweet', 'Cheese', 'Lassi', 'Tea Powder']"
262,"['Yougurt', 'Coffee Powder', 'Sugar', 'Bread', 'Lassi', 'Cheese']","['Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Lassi']"
263,"['Sweet', 'Milk', 'Tea Powder', 'Lassi', 'Panner', 'Sugar', 'Coffee Powder', 'Butter']","['Milk', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
264,"['Cheese', 'Butter', 'Bread', 'Sweet']","['Bread', 'Sweet', 'Butter', 'Cheese']"
265,"['Yougurt', 'Sugar', 'Ghee', 'Tea Powder', 'Butter', 'Coffee Powder', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Butter', 'Tea Powder']"
266,"['Yougurt', 'Lassi', 'Butter', 'Cheese', 'Coffee Powder', 'Ghee', 'Tea Powder', 'Sugar']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
267,"['Bread', 'Sugar']","['Bread', 'Sugar']"
268,"['Sweet', 'Coffee Powder', 'Tea Powder', 'Ghee', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Tea Powder']"
269,"['Butter', 'Bread', 'Ghee', 'Cheese', 'Tea Powder', 'Milk', 'Sweet']","['Milk', 'Ghee', 'Bread', 'Sweet', 'Butter', 'Cheese', 'Tea Powder']"
270,"['Panner', 'Lassi', 'Coffee Powder', 'Tea Powder', 'Bread']","['Coffee Powder', 'Bread', 'Panner', 'Lassi', 'Tea Powder']"
271,"['Panner', 'Butter', 'Yougurt', 'Cheese', 'Bread', 'Sugar']","['Yougurt', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner']"
272,"['Cheese', 'Coffee Powder', 'Ghee', 'Yougurt', 'Bread', 'Tea Powder', 'Lassi', 'Butter']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
273,"['Panner', 'Bread', 'Coffee Powder', 'Cheese', 'Ghee', 'Sweet', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Cheese', 'Panner']"
274,"['Sweet', 'Bread', 'Cheese', 'Yougurt', 'Butter']","['Yougurt', 'Bread', 'Sweet', 'Butter', 'Cheese']"
275,"['Cheese', 'Ghee', 'Yougurt', 'Lassi', 'Sweet']","['Ghee', 'Yougurt', 'Sweet', 'Cheese', 'Lassi']"
276,"['Coffee Powder', 'Lassi', 'Bread', 'Cheese', 'Sweet', 'Milk', 'Panner']","['Milk', 'Coffee Powder', 'Bread', 'Sweet', 'Cheese', 'Panner', 'Lassi']"
277,"['Sugar', 'Milk', 'Yougurt', 'Ghee']","['Milk', 'Ghee', 'Yougurt', 'Sugar']"
278,"['Panner', 'Sugar', 'Yougurt', 'Milk', 'Coffee Powder', 'Butter', 'Lassi']","['Milk', 'Coffee Powder', 'Yougurt', 'Sugar', 'Butter', 'Panner', 'Lassi']"
279,"['Lassi', 'Bread', 'Ghee', 'Yougurt', 'Milk']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Lassi']"
280,"['Bread', 'Sweet', 'Ghee']","['Ghee', 'Bread', 'Sweet']"
281,"['Bread', 'Ghee', 'Sugar', 'Butter', 'Lassi']","['Ghee', 'Bread', 'Sugar', 'Butter', 'Lassi']"
282,"['Panner', 'Ghee', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Panner']"
283,"['Lassi', 'Yougurt', 'Butter', 'Bread', 'Cheese', 'Sugar']","['Yougurt', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
284,"['Ghee', 'Yougurt', 'Milk', 'Sweet', 'Bread', 'Sugar', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar']"
285,"['Milk', 'Sweet', 'Lassi', 'Ghee']","['Milk', 'Ghee', 'Sweet', 'Lassi']"
286,"['Milk', 'Coffee Powder', 'Ghee', 'Sugar', 'Yougurt']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sugar']"
287,"['Yougurt', 'Lassi', 'Butter', 'Sugar', 'Bread']","['Yougurt', 'Bread', 'Sugar', 'Butter', 'Lassi']"
288,"['Yougurt', 'Sweet', 'Tea Powder']","['Yougurt', 'Sweet', 'Tea Powder']"
289,"['Coffee Powder', 'Bread', 'Sugar', 'Lassi', 'Tea Powder', 'Ghee', 'Sweet', 'Milk']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Lassi', 'Tea Powder']"
290,"['Cheese', 'Tea Powder', 'Coffee Powder', 'Sugar', 'Milk', 'Sweet', 'Ghee', 'Butter']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Tea Powder']"
291,"['Panner', 'Yougurt', 'Cheese', 'Milk', 'Lassi', 'Tea Powder']","['Milk', 'Yougurt', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
292,"['Bread', 'Sugar', 'Ghee']","['Ghee', 'Bread', 'Sugar']"
293,"['Ghee', 'Lassi', 'Coffee Powder', 'Panner', 'Milk', 'Sweet']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Panner', 'Lassi']"
294,"['Coffee Powder', 'Panner', 'Tea Powder', 'Yougurt', 'Bread', 'Lassi']","['Coffee Powder', 'Yougurt', 'Bread', 'Panner', 'Lassi', 'Tea Powder']"
295,"['Yougurt', 'Milk', 'Tea Powder', 'Sugar', 'Coffee Powder', 'Sweet']","['Milk', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Tea Powder']"
296,"['Sweet', 'Panner', 'Ghee', 'Butter', 'Sugar', 'Tea Powder', 'Milk', 'Coffee Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Tea Powder']"
297,"['Ghee', 'Coffee Powder', 'Cheese', 'Panner', 'Yougurt', 'Tea Powder']","['Ghee', 'Coffee Powder', 'Yougurt', 'Cheese', 'Panner', 'Tea Powder']"
298,"['Ghee', 'Sugar', 'Bread']","['Ghee', 'Bread', 'Sugar']"
299,"['Panner', 'Sugar', 'Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Milk', 'Bread']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Panner']"
300,"['Bread', 'Yougurt', 'Panner', 'Coffee Powder', 'Ghee', 'Butter', 'Cheese', 'Milk', 'Tea Powder']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
301,"['Cheese', 'Sugar', 'Coffee Powder', 'Butter', 'Lassi', 'Sweet']","['Coffee Powder', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
302,"['Lassi', 'Coffee Powder', 'Cheese', 'Yougurt', 'Tea Powder', 'Sugar']","['Coffee Powder', 'Yougurt', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
303,"['Cheese', 'Yougurt', 'Lassi', 'Bread', 'Ghee', 'Sweet', 'Panner', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Cheese', 'Panner', 'Lassi']"
304,"['Panner', 'Sweet', 'Bread', 'Ghee', 'Coffee Powder', 'Yougurt']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Panner']"
305,"['Bread', 'Panner', 'Yougurt']","['Yougurt', 'Bread', 'Panner']"
306,"['Coffee Powder', 'Bread', 'Sweet', 'Lassi', 'Butter', 'Panner', 'Tea Powder']","['Coffee Powder', 'Bread', 'Sweet', 'Butter', 'Panner', 'Lassi', 'Tea Powder']"
307,"['Coffee Powder', 'Ghee', 'Bread']","['Ghee', 'Coffee Powder', 'Bread']"
308,"['Cheese', 'Sweet', 'Sugar', 'Lassi', 'Ghee', 'Panner']","['Ghee', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
309,"['Yougurt', 'Sweet', 'Butter', 'Ghee']","['Ghee', 'Yougurt', 'Sweet', 'Butter']"
310,"['Yougurt', 'Sugar', 'Coffee Powder', 'Sweet', 'Tea Powder', 'Lassi']","['Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Lassi', 'Tea Powder']"
311,"['Cheese', 'Lassi', 'Butter', 'Yougurt', 'Coffee Powder', 'Sweet', 'Sugar', 'Bread']","['Coffee Powder', 'Yougurt', 'Bread', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
312,"['Tea Powder', 'Butter', 'Sweet', 'Yougurt', 'Sugar', 'Lassi', 'Cheese', 'Ghee']","['Ghee', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Lassi', 'Tea Powder']"
313,"['Ghee', 'Cheese']","['Ghee', 'Cheese']"
314,"['Cheese', 'Lassi', 'Yougurt', 'Sugar', 'Tea Powder']","['Yougurt', 'Sugar', 'Cheese', 'Lassi', 'Tea Powder']"
315,"['Sugar', 'Cheese', 'Coffee Powder', 'Milk', 'Sweet', 'Ghee']","['Milk', 'Ghee', 'Coffee Powder', 'Sweet', 'Sugar', 'Cheese']"
316,"['Panner', 'Coffee Powder', 'Yougurt', 'Lassi', 'Sweet', 'Butter']","['Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Panner', 'Lassi']"
317,"['Cheese', 'Ghee', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Cheese']"
318,"['Yougurt', 'Milk', 'Butter', 'Panner', 'Cheese', 'Sweet']","['Milk', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner']"
319,"['Butter', 'Yougurt', 'Sweet', 'Tea Powder', 'Cheese', 'Milk']","['Milk', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Tea Powder']"
320,"['Bread', 'Tea Powder', 'Butter', 'Yougurt', 'Sweet']","['Yougurt', 'Bread', 'Sweet', 'Butter', 'Tea Powder']"
321,"['Yougurt', 'Milk', 'Panner', 'Bread', 'Sweet', 'Cheese', 'Ghee']","['Milk', 'Ghee', 'Yougurt', 'Bread', 'Sweet', 'Cheese', 'Panner']"
322,"['Bread', 'Cheese', 'Panner', 'Ghee', 'Butter', 'Lassi', 'Sugar', 'Yougurt']","['Ghee', 'Yougurt', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi']"
323,"['Yougurt', 'Ghee', 'Tea Powder', 'Milk', 'Lassi', 'Sweet']","['Milk', 'Ghee', 'Yougurt', 'Sweet', 'Lassi', 'Tea Powder']"
324,"['Lassi', 'Tea Powder', 'Butter', 'Ghee', 'Sweet', 'Yougurt', 'Sugar', 'Coffee Powder']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Lassi', 'Tea Powder']"
325,"['Milk', 'Yougurt', 'Sweet']","['Milk', 'Yougurt', 'Sweet']"
326,"['Milk', 'Ghee', 'Coffee Powder', 'Tea Powder', 'Bread', 'Lassi']","['Milk', 'Ghee', 'Coffee Powder', 'Bread', 'Lassi', 'Tea Powder']"
327,"['Coffee Powder', 'Cheese', 'Panner', 'Milk', 'Lassi', 'Sugar', 'Sweet', 'Bread']","['Milk', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Cheese', 'Panner', 'Lassi']"
328,"['Sugar', 'Panner', 'Butter', 'Cheese', 'Milk', 'Bread', 'Coffee Powder']","['Milk', 'Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner']"
329,"['Butter', 'Yougurt', 'Coffee Powder', 'Panner']","['Coffee Powder', 'Yougurt', 'Butter', 'Panner']"
330,"['Coffee Powder', 'Lassi', 'Bread', 'Panner', 'Butter', 'Sugar', 'Milk']","['Milk', 'Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Panner', 'Lassi']"
331,"['Sweet', 'Butter', 'Tea Powder', 'Panner', 'Coffee Powder']","['Coffee Powder', 'Sweet', 'Butter', 'Panner', 'Tea Powder']"
332,"['Tea Powder', 'Panner', 'Lassi', 'Coffee Powder', 'Butter', 'Ghee', 'Cheese', 'Sweet', 'Yougurt']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
333,"['Ghee', 'Panner', 'Milk', 'Cheese']","['Milk', 'Ghee', 'Cheese', 'Panner']"
334,"['Yougurt', 'Sweet', 'Cheese', 'Milk', 'Coffee Powder', 'Sugar']","['Milk', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Cheese']"
335,"['Ghee', 'Tea Powder', 'Bread', 'Sugar', 'Panner']","['Ghee', 'Bread', 'Sugar', 'Panner', 'Tea Powder']"
336,"['Cheese', 'Milk']","['Milk', 'Cheese']"
337,"['Tea Powder', 'Milk', 'Ghee']","['Milk', 'Ghee', 'Tea Powder']"
338,"['Tea Powder', 'Coffee Powder', 'Lassi', 'Butter', 'Cheese', 'Bread', 'Panner', 'Sugar', 'Ghee']","['Ghee', 'Coffee Powder', 'Bread', 'Sugar', 'Butter', 'Cheese', 'Panner', 'Lassi', 'Tea Powder']"
339,"['Yougurt', 'Ghee', 'Coffee Powder', 'Bread']","['Ghee', 'Coffee Powder', 'Yougurt', 'Bread']"
340,"['Milk', 'Panner', 'Bread', 'Tea Powder', 'Coffee Powder', 'Cheese', 'Sugar', 'Yougurt']","['Milk', 'Coffee Powder', 'Yougurt', 'Bread', 'Sugar', 'Cheese', 'Panner', 'Tea Powder']"
341,"['Lassi', 'Sweet', 'Cheese', 'Butter', 'Coffee Powder', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Sweet', 'Butter', 'Cheese', 'Lassi']"
342,"['Yougurt', 'Cheese']","['Yougurt', 'Cheese']"
343,"['Sugar', 'Bread', 'Coffee Powder', 'Yougurt']","['Coffee Powder', 'Yougurt', 'Bread', 'Sugar']"
344,"['Bread', 'Cheese', 'Sugar', 'Sweet']","['Bread', 'Sweet', 'Sugar', 'Cheese']"
345,"['Coffee Powder', 'Sugar', 'Lassi', 'Butter', 'Yougurt', 'Cheese', 'Ghee', 'Sweet']","['Ghee', 'Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Lassi']"
346,"['Cheese', 'Coffee Powder', 'Butter', 'Milk', 'Panner', 'Ghee', 'Lassi']","['Milk', 'Ghee', 'Coffee Powder', 'Butter', 'Cheese', 'Panner', 'Lassi']"
347,"['Sugar', 'Ghee']","['Ghee', 'Sugar']"
